,Compounds,Smiles
27,ProtacDB 2194 984.015,CC(C)(C)C1=NN(C2=CC=C3N=CC=CC3=C2)C(NC(=O)NC2=CC=C(OC3=CC=NC(C(=O)NCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)C=C2F)=C1
28,ProtacDB 2144 822.97,CS(=O)(=O)NC1=CC=CC(C2=CSC3=CN=C(NC4=CC=C(N5CCN(CCCCCOC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)C=C4)N=C23)=C1
29,ProtacDB 2137 1000.288,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCC(=O)NCCCNC3=CC(NC4=N[NH]C(C5CC5)=C4)=NC(NC4=CC=C(CC#N)C=C4)=N3)C(C)(C)C)C=C2)SC=N1
30,ProtacDB 2150 1158.366,CC1=CC=C(NC(=O)C2=CC=CC(C(F)(F)F)=C2)C=C1N1CC2=CN=C(NC3=CC=C(N4CCN(CCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)N=C3)N=C2N(C)C1=O
31,ProtacDB 1777 911.099,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCC(=O)N3CC(NC4=CC(C(=O)NC[C@H](O)CN5CCC6=CC=CC=C6C5)=NC=N4)C3)C(C)(C)C)C=C2)SC=N1
32,ProtacDB 1780 993.289,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCC(=O)N3CC(NC4=CC(C(=O)NC[C@H](O)CN5CCC6=CC=CC=C6C5)=NC=N4)C3)C(C)(C)C)C=C2)SC=N1
33,ProtacDB 1778 983.206,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCC(=O)N3CC(NC4=CC(C(=O)NC[C@H](O)CN5CCC6=CC=CC=C6C5)=NC=N4)C3)C(C)(C)C)C=C2)SC=N1
34,ProtacDB 1782 1101.338,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(=O)N3CC(NC4=CC(C(=O)NC[C@H](O)CN5CCC6=CC=CC=C6C5)=NC=N4)C3)C(C)(C)C)C=C2)SC=N1
35,ProtacDB 1781 1087.311,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(=O)N3CC(NC4=CC(C(=O)NC[C@H](O)CN5CCC6=CC=CC=C6C5)=NC=N4)C3)C(C)(C)C)C=C2)SC=N1
36,ProtacDB 1779 1027.259,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCOCCC(=O)N3CC(NC4=CC(C(=O)NC[C@H](O)CN5CCC6=CC=CC=C6C5)=NC=N4)C3)C(C)(C)C)C=C2)SC=N1
37,ProtacDB 2179 765.699,O=C1CCC(N2C(=O)C3=CC=CC(NCCCCCCCCN4CCC(NC(=O)C5=C(NC(=O)C6=C(Cl)C=CC=C6Cl)C=N[NH]5)CC4)=C3C2=O)C(=O)N1
38,ProtacDB 2167 857.409,C[C@@H]1C[C@@H](O)C2=NC=NC(N3CCN(C(=O)[C@H](CNCCCCCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C4=CC=C(Cl)C=C4)CC3)=C21
39,ProtacDB 2154 1008.115,CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCOCCNC(=O)CCOCCOCCNC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)=N2)S1
40,ProtacDB 240 937.024,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CCOCCOCCOCCNC(=O)COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O
41,ProtacDB 2153 1022.098,CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCOCCNC(=O)CCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=N2)S1
42,ProtacDB 709 819.924,CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(N4CCN(CCCCNC(=O)COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N1C1CCCC1
43,ProtacDB 543 961.499,COC1=CC(N2CCN(CCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2S(=O)(=O)C(C)C)=N1
44,ProtacDB 2189 975.526,CC(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(N3CCN(CCOCCOCCOCCNC(=O)CNC4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)CC3)C=C2)=NC=C1Cl
45,ProtacDB 2177 931.473,CC(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(N3CCN(CCOCCOCCNC(=O)CNC4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)CC3)C=C2)=NC=C1Cl
46,ProtacDB 2182 869.984,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@H]1CC[C@H](N2CCN(CCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)CC1
47,ProtacDB 2145 1041.065,CC1=CC=C(NC(=O)C2=CC=CC(C(F)(F)F)=C2)C=C1N1CC2=CN=C(NC3=CC=C(N4CCN(CC5=CN(CCCCCOC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)N=N5)CC4)N=C3)N=C2N(C)C1=O
48,ProtacDB 2116 883.973,CNC(=O)C1=CC=CC=C1NC1=CC(NC2=CC=C(N3CCN(CCCCCCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2OC)=NC=C1C(F)(F)F
49,ProtacDB 2042 889.297,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
50,ProtacDB 2180 868.995,CS(=O)(=O)NC1=CC=CC(C2=CSC3=CN=C(NC4=CC=C(N5CCN(CCOCCOCCOC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)C=C4)N=C23)=C1
51,ProtacDB 2045 919.323,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCOCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
52,ProtacDB 2191 887.42,CC(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(N3CCN(CCOCCNC(=O)CNC4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)CC3)C=C2)=NC=C1Cl
53,ProtacDB 2140 848.018,O=C(COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCCCCN1CCC2=CC(NC3=NC=C(C4CC4)C(NCCCNC(=O)C4CCC4)=N3)=CC=C2C1
