E3,Category
CDCA3,RING-Complex-CRLs-SCF
FBXO3,RING-Complex-CRLs-SCF
ZC3HC1,RING-Complex-CRLs-SCF
FBXO6,RING-Complex-CRLs-SCF
FBXW7,RING-Complex-CRLs-SCF
FBXO11,RING-Complex-CRLs-SCF
SKP2,RING-Complex-CRLs-SCF
FBXO2,RING-Complex-CRLs-SCF
FBXW5,RING-Complex-CRLs-SCF
FBXO32,RING-Complex-CRLs-SCF
FBXO7,RING-Complex-CRLs-SCF
FBH1,RING-Complex-CRLs-SCF
BTRC,RING-Complex-CRLs-SCF
FBXW11,RING-Complex-CRLs-SCF
FBXO33,RING-Complex-CRLs-SCF
FBXL5,RING-Complex-CRLs-SCF
FBXO45,RING-Complex-CRLs-SCF
FBXW2,RING-Complex-CRLs-SCF
FBXO31,RING-Complex-CRLs-SCF
FBXO4,RING-Complex-CRLs-SCF
FBXL12,RING-Complex-CRLs-SCF
FBXL7,RING-Complex-CRLs-SCF
FBXL2,RING-Complex-CRLs-SCF
FBXO44,RING-Complex-CRLs-SCF
FBXW10,RING-Complex-CRLs-SCF
CCNF,RING-Complex-CRLs-SCF
FBXL3,RING-Complex-CRLs-SCF
FBXL14,RING-Complex-CRLs-SCF
FBXO25,RING-Complex-CRLs-SCF
KDM2B,RING-Complex-CRLs-SCF
FBXO40,RING-Complex-CRLs-SCF
FBXO22,RING-Complex-CRLs-SCF
FBXL19,RING-Complex-CRLs-SCF
FBXL15,RING-Complex-CRLs-SCF
FBXO42,RING-Complex-CRLs-SCF
CUL1,RING-Complex-CRLs-SCF
FBXO27,RING-Complex-CRLs-SCF
TRIM21,RING-Complex-CRLs-SCF
FBXO15,RING-Complex-CRLs-SCF
FBXL22,RING-Complex-CRLs-SCF
FBXL17,RING-Complex-CRLs-SCF
FBXO10,RING-Complex-CRLs-SCF
FBXL21P,RING-Complex-CRLs-SCF
FBXO21,RING-Complex-CRLs-SCF
FBXL18,RING-Complex-CRLs-SCF
FBXW12,RING-Complex-CRLs-SCF
FBXO34,RING-Complex-CRLs-SCF
FBXO9,RING-Complex-CRLs-SCF
CISH,RING-Complex-CRLs-ECS
SOCS3,RING-Complex-CRLs-ECS
ASB2,RING-Complex-CRLs-ECS
SOCS2,RING-Complex-CRLs-ECS
SOCS5,RING-Complex-CRLs-ECS
SOCS1,RING-Complex-CRLs-ECS
WSB1,RING-Complex-CRLs-ECS
ASB9,RING-Complex-CRLs-ECS
VHL,RING-Complex-CRLs-ECS
ASB3,RING-Complex-CRLs-ECS
SOCS4,RING-Complex-CRLs-ECS
ASB4,RING-Complex-CRLs-ECS
SPSB2,RING-Complex-CRLs-ECS
NEURL2,RING-Complex-CRLs-ECS
CUL5,RING-Complex-CRLs-ECS
ARIH2,RING-Complex-CRLs-ECS
ASB11,RING-Complex-CRLs-ECS
TRAF2,RING-Complex-Other
RNF123,RING-Complex-Other
ARID1B,RING-Complex-Other
BMI1,RING-Complex-Other
RNF2,RING-Complex-Other
BRCA1,RING-Complex-Other
RAD18,RING-Complex-Other
RNF40,RING-Complex-Other
RNF20,RING-Complex-Other
ARIH1,RING-Complex-Other
TRAF3,RING-Complex-Other
FBXW8,RING-Complex-Other
RICTOR,RING-Complex-Other
KLHL10,RING-Complex-Other
CUL7,RING-Complex-Other
KCTD17,RING-Complex-Other
KLHL15,RING-Complex-Other
TBL1X,RING-Complex-Other
CACYBP,RING-Complex-Other
SIAH1,RING-Complex-Other
SKP1,RING-Complex-Other
APC,RING-Complex-Other
FBXO8,Uncategorized
AMBRA1,Uncategorized
RHOBTB3,Uncategorized
RACK1,Uncategorized
AHR,Uncategorized
FBXL4,Uncategorized
UCHL1,Uncategorized
UBR4,Uncategorized
RHOBTB1,Uncategorized
KLHL41,Uncategorized
PPARA,Uncategorized
TRIM49,Uncategorized
CDC34,Uncategorized
SAG,Uncategorized
TOM1,Uncategorized
SIVA1,Uncategorized
BIRC6,Uncategorized
F12,Uncategorized
NAT10,Uncategorized
PPARG,Uncategorized
FAF2,Uncategorized
LNX2,Uncategorized
ING4,Uncategorized
TRAF4,Uncategorized
MEX3B,Uncategorized
DYRK2,Uncategorized
PAXIP1,Uncategorized
BIN2,Uncategorized
LHX1,Uncategorized
MAGEA3,Uncategorized
CARD16,Uncategorized
FBXO5,Uncategorized
HEYL,Uncategorized
CA11,Uncategorized
KLHL6,Uncategorized
FBRS,Uncategorized
IL17RB,Uncategorized
CCAR1,Uncategorized
CGRRF1,Uncategorized
FBXO28,Uncategorized
KLHL24,Uncategorized
SARM1,Uncategorized
KLHL31,Uncategorized
MALT1,Uncategorized
E4F1,Uncategorized
IRAK1,Uncategorized
ZFP91,Uncategorized
IRAK4,Uncategorized
EP300,Uncategorized
TNFAIP3,Uncategorized
